dataset,method,loss,stability,alpha,beta,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
College,"(0.0, 0.0)",1.0,1.0,0.0,0.0,0.05735165004061435,0.03825971651861394,0.046362199919492406,0.07820652126483385,0.0026589486648957274,0.002992159333499496
College,"(0.0, 0.2)",0.9741502402876039,0.9099221220617152,0.0,0.2,0.05586912366795504,0.03481336244409686,0.041758159664336304,0.07147258977786561,0.002394899359409114,0.0027345210237523228
College,"(0.0, 0.4)",0.9600541354315225,0.8342584006216555,0.0,0.4,0.05506068879531325,0.0319184899110568,0.038568914550680684,0.07184360993762652,0.0022119908897569973,0.0027487161498874666
College,"(0.0, 0.6)",0.964245438465255,0.7553384696144175,0.0,0.6,0.05530106694011804,0.028899035723051306,0.038684958833575436,0.07217543212622106,0.0022186462208587912,0.002761411572757679
College,"(0.0, 0.8)",0.9689566995606053,0.7072069158398241,0.0,0.8,0.05557126553770853,0.027057536120034937,0.044642987303971836,0.07053507561446623,0.0025603489846249827,0.0026986519976284775
College,"(0.0, 1.0)",0.984243783237585,0.6639376736678113,0.0,1.0,0.05644800501089226,0.025402067180558475,0.042167537303726105,0.06768168506838078,0.002418377842517851,0.0025894820842183547
College,"(0.0, 1.2)",0.9943722669829057,0.6160936231119296,0.0,1.2,0.05702889026609595,0.023571567369188206,0.046967456014514956,0.06517539965018808,0.0026936611006424093,0.002493592314603566
College,"(0.0, 1.4)",0.9974877846884214,0.5662817335528753,0.0,1.4,0.057207570347238015,0.02166577859540228,0.043984812786255524,0.06336710893501367,0.0025226015900192667,0.002424407624457752
College,"(0.0, 1.6)",1.0012285442513071,0.5308584486823862,0.0,1.6,0.05742210908057472,0.020310493758099263,0.04444875592003333,0.0621009233482402,0.0025492094942664366,0.002375963722847844
College,"(0.0, 1.8)",1.0115395530367115,0.4927543013763821,0.0,1.8,0.05801346244800094,0.01885263988398804,0.04428159785638415,0.05339858514299687,0.0025396227034985624,0.0020430147300661305
College,"(0.0, 2.0)",1.0119852488798908,0.4636130790461721,0.0,2.0,0.05803902384002352,0.017737704978628303,0.04160093778953046,0.05317666186561825,0.0023858824254665194,0.0020345240083847428
College,"(0.2, 0.0)",0.9919310436449956,0.7125179621167809,0.2,0.0,0.05688888207954915,0.027260735245008542,0.04433844639002479,0.06453428938752338,0.0025428830607052426,0.002469063617696841
College,"(0.2, 0.2)",0.9976225496033562,0.6453190264354783,0.2,0.2,0.05721529933747711,0.02468972301548934,0.043826067621963595,0.06692967333340444,0.0025134972929111562,0.002560710328419489
College,"(0.2, 0.4)",1.0058072148376136,0.5756625834000524,0.2,0.4,0.057684703393691826,0.02202468725125896,0.043578036876523694,0.06602543929492329,0.0024992723203993744,0.0025261145904407183
College,"(0.2, 0.6)",1.003704680530536,0.5324724184101813,0.2,0.6,0.05756411958191394,0.02037224378235433,0.04655030195744059,0.0643556794305289,0.0026697366271480577,0.0024622300513748303
College,"(0.2, 0.8)",1.0031153759292866,0.49431241085824695,0.2,0.8,0.05753032199065574,0.018912252711069152,0.04282789757941126,0.057283948620940446,0.002456250593949669,0.0021916676353040273
College,"(0.2, 1.0)",1.009366901654149,0.458653866985572,0.2,1.0,0.057888857306247966,0.01754796693103405,0.038667315160517,0.05349250427553475,0.0022176343270961124,0.0020466080494527038
College,"(0.2, 1.2)",1.0173148947694908,0.4367338474631197,0.2,1.2,0.05834468782592425,0.016709313198022543,0.04058447676468905,0.05590186657425055,0.0023275867084898904,0.002138789567992206
College,"(0.2, 1.4)",1.0151869251263115,0.4169677436342748,0.2,1.4,0.05822264525565158,0.015953067668853446,0.041296755341462994,0.049759861087476896,0.0023684370601564572,0.0019037981792124753
College,"(0.2, 1.6)",1.0213736263448554,0.3891162336466462,0.2,1.6,0.05857746277884335,0.014887476792111432,0.04100915880577601,0.04786968674580033,0.002351942924288844,0.0018314806447291714
College,"(0.2, 1.8)",1.030450647954354,0.37540779035025,0.2,1.8,0.05909804494560241,0.01436299563767982,0.04208651428187879,0.047236280172576466,0.0024137310385236306,0.0018072466887966
College,"(0.2, 2.0)",1.0256727975420101,0.3562006205841002,0.2,2.0,0.05882402734080726,0.013628134767302034,0.04401233603718359,0.048845923741890916,0.0025241800938744724,0.001868831195454581
College,"(0.4, 0.0)",1.0109290849817945,0.5116942264036762,0.4,0.0,0.057978451097754354,0.019577276046416115,0.04441014256327867,0.06101039020082498,0.0025469949545429502,0.002334240233773586
College,"(0.4, 0.2)",1.0118935907231021,0.4554760915590603,0.4,0.2,0.058033767093492,0.017426386144055898,0.047894499748245334,0.052389429960504726,0.0027468285884316586,0.002004404738860691
College,"(0.4, 0.4)",1.015729917282942,0.4244096339123164,0.4,0.4,0.05825378675179345,0.016237792281253948,0.04315166473590629,0.051126678602677625,0.0024748191746036172,0.0019560922298767314
College,"(0.4, 0.6)",1.0168777917242753,0.3975513848396913,0.4,0.6,0.05831961924504336,0.015210203285548986,0.04280052067253669,0.05001179278371952,0.002454680483167404,0.001913437014492771
College,"(0.4, 0.8)",1.019682192628255,0.38094314089985204,0.4,0.8,0.058480456264261994,0.014574776580538748,0.04328909433056331,0.052865592539757714,0.00248270098862161,0.002022622584159682
College,"(0.4, 1.0)",1.0268116902345181,0.3567886565040116,0.4,1.0,0.058889344715941795,0.013650632854900608,0.04308391630716468,0.05233658002134029,0.0024709336904276263,0.002002382715170234
College,"(0.4, 1.2)",1.026629368423978,0.3452497424771147,0.4,1.2,0.058878888259268916,0.013209157275298875,0.043970044707724705,0.052693900529008963,0.0025217546163475942,0.002016053696499924
College,"(0.4, 1.4)",1.0298120483189013,0.32803454883322347,0.4,1.4,0.059061420202793855,0.012550508846670552,0.04461495355196106,0.04468499464082448,0.002558741202690335,0.0017096352275937279
College,"(0.4, 1.6)",1.0340427243266515,0.3192827208003534,0.4,1.6,0.05930405645262558,0.012215666387113284,0.0443960389034486,0.043873342742049785,0.002546186086380084,0.0016785816560348139
College,"(0.4, 1.8)",1.03779536336022,0.3061076217215143,0.4,1.8,0.05951927649320754,0.011711590831252248,0.04448028870023511,0.0425487213319812,0.002551017951241377,0.0016279020163911027
College,"(0.4, 2.0)",1.0383872188988446,0.28751275131309595,0.4,2.0,0.05955322038493334,0.0110001563607258,0.04467377363717134,0.04085307612877535,0.002562114631632674,0.0015630271116002994
