dataset,method,loss,stability,alpha,beta,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
CH,baseline,1.0,1.0,0.0,0.0,0.36287783768837045,0.18854023841975343,0.01947164165842752,0.01708131924218874,0.007065827221252973,0.0032205160024461883
CH,SL1,0.992488105285906,0.8457385413120333,0.1,0.0,0.36015193757757735,0.15945574621974523,0.012482850612356584,0.011733239665310233,0.004529749838398905,0.002212187803933699
CH,SL2,0.9719297616540495,0.6441419382500417,0.25,0.0,0.3526917702939948,0.12144667461382497,0.014166804362386022,0.016993668754065307,0.005140819333976814,0.0032039903585177865
CH,SL3,0.9777065839702928,0.47839813353659255,0.5,0.0,0.35478805108482303,0.0901972981565542,0.0119021335173569,0.020975898046960508,0.004319020474656754,0.0039548008188423755
CH,SL4,0.9809389046935806,0.35919719349807167,0.75,0.0,0.355960988639605,0.06772312450183274,0.012537638593258675,0.023710939229793948,0.004549631182439968,0.004470466135541635
CH,SL5,0.9889100954857059,0.2947976014859944,1.0,0.0,0.3588535571180529,0.05558121006974084,0.012552193084849665,0.022360352323958648,0.004554912684877167,0.004215826158308851
CH,SL6,1.0070437759661635,0.21692692564119243,1.5,0.0,0.36543386788013316,0.040899454280054544,0.01129367388716274,0.022790925696550265,0.004098223959731222,0.004297006564634472
CH,ABU,0.959895680525184,0.893053951209403,0.0,1.0,0.3483248689553856,0.16837660488272368,0.02316250823219366,0.02493010115868777,0.008405160902737512,0.004700327216287562
CH,ABU1,0.9434065152251093,0.7420828924784688,0.1,1.0,0.3423413163060084,0.13991248547511076,0.024906742943322967,0.03015427216636586,0.009038105023133118,0.005685293663620756
CH,ABU2,0.9455654725552524,0.6274774269114937,0.25,1.0,0.3431247540736322,0.11830474367290642,0.021848696889307594,0.03142083887304009,0.00792840788350056,0.005924092452471636
CH,ABU3,0.9521325044982181,0.48104692520266396,0.5,1.0,0.34550778442512603,0.09069670196879956,0.02088875940589945,0.03306881247464309,0.007580067845205405,0.006234801788227325
CH,ABU4,0.9547069625663923,0.38911678738985267,0.75,1.0,0.34644199820212446,0.07336417186761132,0.019804386491147803,0.03565519284598245,0.007186572946652485,0.006722438560083819
CH,ABU5,0.9675909061696819,0.32834443121013623,1.0,1.0,0.3511172957977851,0.06190613734415742,0.01652795755863786,0.03601532693778919,0.005997629500283663,0.0067903383276161425
CH,ABU6,1.011546256536751,0.19618422260899213,2.0,1.0,0.3670677182938219,0.03698862010489336,0.01701099288077403,0.03134220450202946,0.006172912313507543,0.005909266709413303
CH,SLABU,0.9522787607917736,0.9156446196967037,0.0,1.1,0.3455608575926798,0.17263585490538097,0.02637375632653058,0.04623884657371218,0.0095704516674914,0.008717883157262091
CH,SLABU1,0.9494998143101008,0.8594822623047969,0.0,1.25,0.34455243950235864,0.16204699065249545,0.027214659739249344,0.05213739317726942,0.009875596879603548,0.009829996540226801
CH,SLABU2,0.9520836728720643,0.8410768473606189,0.0,1.5,0.3454900645102165,0.15857682933070566,0.026563290537557994,0.04879638264700797,0.009639229432156992,0.009200081618288402
CH,SLABU3,0.949653013295309,0.8014676870144909,0.0,2.0,0.34460803201884704,0.15110890879544042,0.027624356793661424,0.05167982030219752,0.0100242668608159,0.009743725641266333
CH,SLABU4,0.9451940818882553,0.7287726407991195,0.1,1.1,0.34298998463145464,0.1374029674500593,0.022102827792420364,0.030125672850323224,0.008020626356111922,0.005679901541755432
CH,SLABU5,0.9362229450732201,0.7472067092517222,0.1,1.25,0.33973455790240814,0.14087853111115908,0.027482144347510666,0.047814153299322884,0.009972661115864347,0.009014891862892976
CH,SLABU6,0.9361883360183764,0.7218828334137456,0.1,1.5,0.339721999043422,0.13610396152295473,0.0259338511228377,0.0470364023188957,0.009410819818387465,0.00886825450761204
CH,SLABU7,0.9449528086264113,0.618897130369014,0.25,1.1,0.34290243191190467,0.11668701251707511,0.02174762997211375,0.03188385578888989,0.007891732939127441,0.006011389772178337
CH,SLABU8,0.9464917711781924,0.6090510514557727,0.25,1.25,0.34346088731497837,0.11483063045127288,0.020616120468019913,0.03254629192843278,0.007481133216958024,0.006136285639865613
CH,SLABU9,0.9365759535153495,0.6280338643177895,0.25,1.5,0.3398626568425738,0.11840965451415511,0.02455889828411048,0.04701263253780264,0.00891187990534664,0.008863772947417569
