dataset,method,loss,stability,color,marker,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
CH,baseline,1.0,1.0,#3776ab,baseline,0.37193518935260383,0.2578845171636459,0.01746623172011837,0.019158855963053646,0.006496306202098684,0.004940772319439927
CH,SL1,0.9830111181353084,0.9001752171499081,#CC79A7,SL_{0.1},0.36561642635937075,0.23214125123738416,0.019188992656313058,0.01713931200600466,0.0071370616171115234,0.004419963201185591
CH,SL2,0.9680110378709077,0.7643250358622642,#CC79A7,SL_{0.25},0.3600373686659266,0.19710759282942636,0.020009790847286157,0.0202830720337942,0.007442345347691377,0.005230690238030465
CH,SL3,0.9600861822744482,0.6124705340072432,#CC79A7,SL_{0.5},0.3570898359990654,0.15794666793941828,0.01772064457087871,0.024991504310881117,0.006590931293919963,0.006444922022404752
CH,SL4,0.9620861591156422,0.49231946280268396,#CC79A7,SL_{0.75},0.3578336977641957,0.1269615669551357,0.01836889821642389,0.025599356453400005,0.006832039636324328,0.006601677678685123
CH,SL5,0.9649075980522666,0.44314233212393117,#CC79A7,SL_{0.9},0.3588830901893359,0.11427954635455201,0.019937561347132024,0.024887052924515075,0.007415480654874705,0.006417985627064672
CH,ABU,0.9502983629329631,0.8639257271787318,#F0E442,ABU,0.35344940155894106,0.22279306901873894,0.022952973944582625,0.027003710821865607,0.008537018710283721,0.006963838926923533
CH,ABU1,0.9440814921825098,0.7898846977001025,#F0E442,ABU_{0.1},0.35113712855919055,0.20369903388134333,0.02075784945131797,0.023520240759761682,0.007720574666228792,0.0060655059319038454
CH,ABU2,0.944778570682146,0.6982385605564424,#F0E442,ABU_{0.25},0.35139639658294636,0.1800649140541373,0.021629679786689896,0.027898339658756415,0.008044839047098696,0.007194549852565792
CH,ABU3,0.9464559041455554,0.5869834961624691,#F0E442,ABU_{0.5},0.352020255922267,0.15137395549088717,0.021454596154339086,0.027920528745451378,0.007979719283147757,0.007200272074474424
CH,ABU4,0.953532002411203,0.5069262012984989,#F0E442,ABU_{0.75},0.35465210587057827,0.13072841865946455,0.021608866506536095,0.029367395938547338,0.008037097855803643,0.007573396721965896
CH,ABU5,0.9615880132087021,0.4768926923287709,#F0E442,ABU_{0.9},0.35764841977197276,0.12298324170007623,0.02177529991291599,0.031822888776596586,0.008099000296320148,0.008206630306905018
CH,BABU,0.9905785912548349,0.8887457433876998,#E69F00,BABU,0.3684310359070026,0.22919376691478252,0.01915440582821343,0.018123814172914452,0.0071241975586531815,0.004673851067145686
